[Name]
		
[Type
]
		
[Cat.]
		
[Power
]
		
[Acc.]
		
[PP
]
		
[Effect
]
[Spray	]	Poison		Special 		40 		100 		20 		Sharply lowers opponent's Special Defense.
[Beam	]	Normal		Status 		— 		100 		15 		Changes target's ability to Simple.
[Drop	]	Flying		Physical 		60 		100 		10 		Takes opponent into the air on first turn, drops them on second turn.
[Wave	]	Poison		Special 		95 		100 		10 		May poison opponent.
[Down	]	Rock		Physical 		50 		100 		15 		Makes Flying-type Pokémon vulnerable to Ground moves.
[Snarl	]	Dark		Special 		55 		95 		15 		Lowers opponent's Special Attack.
[Soak	]	Water		Status 		— 		100 		20 		Changes the target's type to water.
[Steamroller	]	Bug		Physical 		65 		100 		20 		May cause flinching.
[Power	]	Psychic		Special 		20 		100 		10 		Power increases when user's stats have been raised.
[Throw	]	Fighting		Physical 		60 		100 		10 		Always results in a critical hit.
[Bug	]	Bug		Special 		50 		100 		20 		Lowers opponent's Special Attack.
[Synchronoise	]	Psychic		Special 		120 		100 		10 		Hits any Pokémon that shares a type with the user.
[Slap	]	Normal		Physical 		25 		85 		10 		Hits 2-5 times in one turn.
[Blast	]	Normal		Special 		120 		100 		5 		Type depends on the Drive being held.
[Telekinesis	]	Psychic		Status 		— 		— 		15 		Ignores opponent's Evasiveness for three turns, add Ground immunity.
[create	]	Fire		Physical 		180 		95 		5 		Lowers user's Defense, Special Defense and Speed.
[Venoshock	]	Poison		Special 		65 		100 		10 		Inflicts double damage if the target is poisoned.
[Switch	]	Electric		Special 		70 		100 		20 		User must switch out after attacking.
[Pledge	]	Water		Special 		80 		100 		10 		Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.
[Guard	]	Rock		Status 		— 		— 		10 		Protects the user's team from multi-target attacks.
[Charge	]	Electric		Physical 		90 		100 		15 		User receives recoil damage.
[Room	]	Psychic		Status 		— 		— 		10 		Swaps every Pokémon's Defense and Special Defense for 5 turns.
[Up	]	Normal		Status 		— 		— 		30 		Raises user's Attack and Special Attack.
